deployment_waterbody,location_description,lease,status,deployment,retrieval,duration,logger_latitude,logger_longitude,logger_model,serial,sensor_depth,sounding,datum,mount_type,acoustic_release,surface_buoy,deployment_attendant,retrieval_attendant,comments,deployment_waypoint,retrieval_waypoint,retrieval_latitude,retrieval_longitude,sensor_voltage_deployed,sensor_voltage_retrieved,vessel_sounder_offset_transponder_depth,verified_measurement_below_origin_first_sensor_under_float,tide_correction,rising_or_falling,height_of_vr_2_ar_base_off_bottom,time_of_deployment,photos_taken,anchor_type,float_type,distance_from_top_of_float_to_origin_first_sensor,deployment_time,retrieval_time,dist_to_shore,substrate,deployment_notes,retrieval_notes,configuration,mooring_type,data_processor_notes,data_handler_notes,lease_maybe,latitude_maybe,longitude_maybe,depth_maybe,depth_of_water_m,15,secondary_float_type,distance_from_top_of_float_to_origin_first_sensor_1
Whycocomagh Bay,Aberdeen,NA,Retrieved,2018-06-01,2018-08-21,81,45.976083,-61.022683,HOBO Pro V2,10755206,3,33,NA,NA,N,N,Bruce Hatcher,NA,"Vertical Chain of 4 HOBOs, 2 DOTs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whycocomagh Bay,Aberdeen,NA,Retrieved,2018-06-01,2018-08-21,81,45.976083,-61.022683,aquaMeasure DOT,670290,5,33,NA,NA,N,N,Bruce Hatcher,NA,"Vertical Chain of 4 HOBOs, 2 DOTs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whycocomagh Bay,Aberdeen,NA,Retrieved,2018-06-01,2018-08-21,81,45.976083,-61.022683,HOBO Pro V2,10817503,10,33,NA,NA,N,N,Bruce Hatcher,NA,"Vertical Chain of 4 HOBOs, 2 DOTs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whycocomagh Bay,Aberdeen,NA,Retrieved,2018-06-01,2018-08-21,81,45.976083,-61.022683,HOBO Pro V2,10778922,18,33,NA,NA,N,N,Bruce Hatcher,NA,"Vertical Chain of 4 HOBOs, 2 DOTs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whycocomagh Bay,Aberdeen,NA,Retrieved,2018-06-01,2018-08-21,81,45.976083,-61.022683,HOBO Pro V2,10777103,23,33,NA,NA,N,N,Bruce Hatcher,NA,"Vertical Chain of 4 HOBOs, 2 DOTs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whycocomagh Bay,Aberdeen,NA,Retrieved,2018-06-01,2018-08-21,81,45.976083,-61.022683,aquaMeasure DOT,670296,28,33,NA,NA,N,N,Bruce Hatcher,NA,"Vertical Chain of 4 HOBOs, 2 DOTs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Margarets Bay,Birchy Head,NA,Retrieved,2018-02-20,2018-04-25,64,44.57130379,-64.035121470000007,aquaMeasure DOT,670299,2,NA,NA,NA,NA,N,"Todd Mosher, Matt King",NA,CMAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Margarets Bay,Birchy Head,NA,Retrieved,2018-02-20,2018-04-25,64,44.57130379,-64.035121470000007,DST Comp,211,5,NA,NA,NA,NA,N,"Todd Mosher, Matt King",NA,CMAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Margarets Bay,Birchy Head,NA,Retrieved,2018-02-20,2018-04-25,64,44.57130379,-64.035121470000007,aquaMeasure DOT,670350,5,NA,NA,NA,NA,N,"Todd Mosher, Matt King",NA,CMAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Margarets Bay,Birchy Head,NA,Retrieved,2018-02-20,2018-04-25,64,44.57130379,-64.035121470000007,HOBO Pro V2,10817503,10,NA,NA,NA,NA,N,"Todd Mosher, Matt King",NA,CMAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Margarets Bay,Birchy Head,NA,Retrieved,2018-02-20,2018-04-25,64,44.57130379,-64.035121470000007,HOBO Pro V2,10194899,15,NA,NA,NA,NA,N,"Todd Mosher, Matt King",NA,CMAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Margarets Bay,Birchy Head,NA,Retrieved,2018-02-20,2018-04-25,64,44.57130379,-64.035121470000007,aquaMeasure DOT,670351,20,NA,NA,NA,NA,N,"Todd Mosher, Matt King",NA,CMAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Margarets Bay,Birchy Head,NA,Retrieved,2018-02-20,2018-04-25,64,44.57130379,-64.035121470000007,HOBO Pro V2,10779129,30,NA,NA,NA,NA,N,"Todd Mosher, Matt King",NA,CMAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Margarets Bay,Birchy Head,NA,Retrieved,2018-02-20,2018-04-25,64,44.57130379,-64.035121470000007,VR2AR,547087,40,NA,NA,NA,NA,N,"Todd Mosher, Matt King",NA,CMAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green Harbour,Blue Island,NA,Retrieved,2018-02-13,2018-05-14,90,43.68621,-65.16825,aquaMeasure DOT,670293,2,NA,NA,NA,NA,N,"Todd Mosher, Matt King","Todd Mosher, David Cook",CMAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green Harbour,Blue Island,NA,Retrieved,2018-02-13,2018-05-14,90,43.68621,-65.16825,DST Comp,359,5,NA,NA,NA,NA,N,"Todd Mosher, Matt King","Todd Mosher, David Cook",CMAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green Harbour,Blue Island,NA,Retrieved,2018-02-13,2018-05-14,90,43.68621,-65.16825,aquaMeasure DOT,670294,5,NA,NA,NA,NA,N,"Todd Mosher, Matt King","Todd Mosher, David Cook",CMAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green Harbour,Blue Island,NA,Retrieved,2018-02-13,2018-05-14,90,43.68621,-65.16825,VR2AR,547095,10,NA,NA,NA,NA,N,"Todd Mosher, Matt King","Todd Mosher, David Cook",CMAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shoal Bay,Borgles Island,NA,Retrieved,2018-02-28,2018-09-13,197,44.77437,-62.72518,aquaMeasure DOT,670363,2,NA,NA,NA,NA,N,"Todd Mosher, Matt King, David Cook",NA,CMAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shoal Bay,Borgles Island,NA,Retrieved,2018-02-28,2018-09-13,197,44.77437,-62.72518,aquaMeasure DOT,670364,5,NA,NA,NA,NA,N,"Todd Mosher, Matt King, David Cook",NA,CMAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shoal Bay,Borgles Island,NA,Retrieved,2018-02-28,2018-09-13,197,44.77437,-62.72518,VR2AR,547109,10,NA,NA,NA,NA,N,"Todd Mosher, Matt King, David Cook",NA,CMAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Annapolis Basin,Cornwallis,NA,Retrieved,2020-06-11,2020-11-22,164,44.66939,-65.64479,aquaMeasure DOT,670367,1,10.5,WGS84,Sub Surface Buoy,Yes,No,Timothy Dada & Danny Rowe,"Mark Decker, Timothy Dada, Michelle Plamondon, Karen Campbell",DD; rounded depth of VR2AR to be consistent with following deployment. Changed Sounding to match NSDFA tracking and be consistent with other deployment,NA,NA,NA,NA,1.6400000000000001,NA,0.3,0.5,NA,Rising,0.5,15:39:00,Yes,2 Steel Chains,Vinyl,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Annapolis Basin,Cornwallis,NA,Retrieved,2020-06-11,2020-11-22,164,44.66939,-65.64479,VR2AR,547089,2,10.5,WGS84,Sub Surface Buoy,Yes,No,Timothy Dada & Danny Rowe,"Mark Decker, Timothy Dada, Michelle Plamondon, Karen Campbell",NA,NA,NA,NA,NA,1.6400000000000001,NA,0.3,1.4,NA,Rising,0.5,15:39:00,Yes,2  Steel Chains,Vinyl,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sheet Harbour,East Gibbs Island,NA,Retrieved,2018-02-28,2018-09-13,197,44.83858,-62.51107,aquaMeasure DOT,670382,2,NA,NA,NA,NA,N,"Todd Mosher, Matt King, David Cook",NA,CMAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
